chunk_agg_type,source_agg_name,theme_keywords_agg_name,emissions_kg,duration_seconds,start_time,end_time,filename
mean,025_todos,01_tema_09_palavras,2.2500690028567578e-05,72.623535,2025-09-06T14:35:25.921593,2025-09-06T14:36:38.545128,metricas_por_tema__chunk-mean__campos-025_todos__simtema-01_tema_09_palavras_miniLM.parquet
mean,025_todos,02_tema_08_palavras,6.21094155134377e-07,79.261361,2025-09-06T14:36:44.849310,2025-09-06T14:38:04.110671,metricas_por_tema__chunk-mean__campos-025_todos__simtema-02_tema_08_palavras_miniLM.parquet
mean,025_todos,03_tema_07_palavras,2.4629918734228283e-05,78.818641,2025-09-06T14:38:09.085699,2025-09-06T14:39:27.904340,metricas_por_tema__chunk-mean__campos-025_todos__simtema-03_tema_07_palavras_miniLM.parquet
mean,025_todos,04_tema_06_palavras,2.641584679930206e-05,81.427284,2025-09-06T14:39:33.221870,2025-09-06T14:40:54.649154,metricas_por_tema__chunk-mean__campos-025_todos__simtema-04_tema_06_palavras_miniLM.parquet
mean,025_todos,05_tema_05_palavras,2.8918490066736113e-05,87.805273,2025-09-06T14:40:59.804429,2025-09-06T14:42:27.609702,metricas_por_tema__chunk-mean__campos-025_todos__simtema-05_tema_05_palavras_miniLM.parquet
mean,025_todos,06_tema_04_palavras,2.578880074607112e-05,81.297909,2025-09-06T14:42:32.788372,2025-09-06T14:43:54.086281,metricas_por_tema__chunk-mean__campos-025_todos__simtema-06_tema_04_palavras_miniLM.parquet
mean,025_todos,07_tema_03_palavras,2.4003473871533607e-05,77.260097,2025-09-06T14:43:59.365321,2025-09-06T14:45:16.625418,metricas_por_tema__chunk-mean__campos-025_todos__simtema-07_tema_03_palavras_miniLM.parquet
mean,025_todos,08_tema_02_palavras,2.4143687489029873e-05,77.6843,2025-09-06T14:45:22.002528,2025-09-06T14:46:39.686828,metricas_por_tema__chunk-mean__campos-025_todos__simtema-08_tema_02_palavras_miniLM.parquet
mean,025_todos,09_tema_01_palavras,2.4289576783790116e-05,78.022135,2025-09-06T14:46:44.797313,2025-09-06T14:48:02.819448,metricas_por_tema__chunk-mean__campos-025_todos__simtema-09_tema_01_palavras_miniLM.parquet
mean,03_producao_resumo_02_palavra_area,01_tema_09_palavras,2.4068239779566242e-05,77.410381,2025-09-06T14:48:19.414147,2025-09-06T14:49:36.824528,metricas_por_tema__chunk-mean__campos-03_producao_resumo_02_palavra_area__simtema-01_tema_09_palavras_miniLM.parquet
mean,03_producao_resumo_02_palavra_area,02_tema_08_palavras,2.40221664973227e-05,77.302785,2025-09-06T14:49:41.953521,2025-09-06T14:50:59.256306,metricas_por_tema__chunk-mean__campos-03_producao_resumo_02_palavra_area__simtema-02_tema_08_palavras_miniLM.parquet
