chunk_agg_type,source_agg_name,theme_keywords_agg_name,emissions_kg,duration_seconds,start_time,end_time,filename
mean,025_todos,01_tema_09_palavras,3.095584986048796e-05,91.120874,2025-09-06T15:58:06.644526,2025-09-06T15:59:37.765400,metricas_por_tema__chunk-mean__campos-025_todos__simtema-01_tema_09_palavras_mpnet_base_v2.parquet
mean,025_todos,02_tema_08_palavras,3.0901726231282286e-05,88.947467,2025-09-06T15:59:42.891517,2025-09-06T16:01:11.838984,metricas_por_tema__chunk-mean__campos-025_todos__simtema-02_tema_08_palavras_mpnet_base_v2.parquet
mean,025_todos,03_tema_07_palavras,2.914033385933895e-05,86.80251,2025-09-06T16:01:17.156338,2025-09-06T16:02:43.958848,metricas_por_tema__chunk-mean__campos-025_todos__simtema-03_tema_07_palavras_mpnet_base_v2.parquet
mean,025_todos,04_tema_06_palavras,2.9259512193000824e-05,87.93487,2025-09-06T16:02:49.062519,2025-09-06T16:04:16.997389,metricas_por_tema__chunk-mean__campos-025_todos__simtema-04_tema_06_palavras_mpnet_base_v2.parquet
mean,025_todos,05_tema_05_palavras,2.8820550943075892e-05,85.970831,2025-09-06T16:04:21.979415,2025-09-06T16:05:47.950246,metricas_por_tema__chunk-mean__campos-025_todos__simtema-05_tema_05_palavras_mpnet_base_v2.parquet
mean,025_todos,06_tema_04_palavras,2.478246445879621e-05,78.901504,2025-09-06T16:05:53.437409,2025-09-06T16:07:12.338913,metricas_por_tema__chunk-mean__campos-025_todos__simtema-06_tema_04_palavras_mpnet_base_v2.parquet
mean,025_todos,07_tema_03_palavras,2.3995431041233776e-05,77.068148,2025-09-06T16:07:17.411371,2025-09-06T16:08:34.479519,metricas_por_tema__chunk-mean__campos-025_todos__simtema-07_tema_03_palavras_mpnet_base_v2.parquet
mean,025_todos,08_tema_02_palavras,2.4091234676715117e-05,77.397891,2025-09-06T16:08:39.472539,2025-09-06T16:09:56.870430,metricas_por_tema__chunk-mean__campos-025_todos__simtema-08_tema_02_palavras_mpnet_base_v2.parquet
mean,025_todos,09_tema_01_palavras,5.791461970270406e-07,76.877395,2025-09-06T16:10:03.006094,2025-09-06T16:11:19.883489,metricas_por_tema__chunk-mean__campos-025_todos__simtema-09_tema_01_palavras_mpnet_base_v2.parquet
mean,03_producao_resumo_02_palavra_area,01_tema_09_palavras,5.816991818909941e-07,77.201117,2025-09-06T16:11:37.126048,2025-09-06T16:12:54.327165,metricas_por_tema__chunk-mean__campos-03_producao_resumo_02_palavra_area__simtema-01_tema_09_palavras_mpnet_base_v2.parquet
mean,03_producao_resumo_02_palavra_area,02_tema_08_palavras,2.3974824159557174e-05,76.955984,2025-09-06T16:12:59.470554,2025-09-06T16:14:16.426538,metricas_por_tema__chunk-mean__campos-03_producao_resumo_02_palavra_area__simtema-02_tema_08_palavras_mpnet_base_v2.parquet
mean,03_producao_resumo_02_palavra_area,03_tema_07_palavras,2.3930950726264658e-05,76.968941,2025-09-06T16:14:21.402546,2025-09-06T16:15:38.371487,metricas_por_tema__chunk-mean__campos-03_producao_resumo_02_palavra_area__simtema-03_tema_07_palavras_mpnet_base_v2.parquet
mean,03_producao_resumo_02_palavra_area,04_tema_06_palavras,2.4000832056036217e-05,77.044772,2025-09-06T16:15:43.374524,2025-09-06T16:17:00.419296,metricas_por_tema__chunk-mean__campos-03_producao_resumo_02_palavra_area__simtema-04_tema_06_palavras_mpnet_base_v2.parquet
mean,03_producao_resumo_02_palavra_area,05_tema_05_palavras,2.405936137231825e-05,77.485818,2025-09-06T16:17:05.533983,2025-09-06T16:18:23.019801,metricas_por_tema__chunk-mean__campos-03_producao_resumo_02_palavra_area__simtema-05_tema_05_palavras_mpnet_base_v2.parquet
mean,03_producao_resumo_02_palavra_area,06_tema_04_palavras,2.387041001066127e-05,76.732182,2025-09-06T16:18:28.060552,2025-09-06T16:19:44.792734,metricas_por_tema__chunk-mean__campos-03_producao_resumo_02_palavra_area__simtema-06_tema_04_palavras_mpnet_base_v2.parquet
mean,03_producao_resumo_02_palavra_area,07_tema_03_palavras,2.3778827809778355e-05,76.641182,2025-09-06T16:19:49.892290,2025-09-06T16:21:06.533472,metricas_por_tema__chunk-mean__campos-03_producao_resumo_02_palavra_area__simtema-07_tema_03_palavras_mpnet_base_v2.parquet
mean,03_producao_resumo_02_palavra_area,08_tema_02_palavras,2.386310862898833e-05,76.892093,2025-09-06T16:21:11.562691,2025-09-06T16:22:28.454784,metricas_por_tema__chunk-mean__campos-03_producao_resumo_02_palavra_area__simtema-08_tema_02_palavras_mpnet_base_v2.parquet
mean,03_producao_resumo_02_palavra_area,09_tema_01_palavras,5.761078611417727e-07,76.813907,2025-09-06T16:22:34.549237,2025-09-06T16:23:51.363144,metricas_por_tema__chunk-mean__campos-03_producao_resumo_02_palavra_area__simtema-09_tema_01_palavras_mpnet_base_v2.parquet
mean,02_producao_resumo_03_palavra_area,01_tema_09_palavras,2.37642214373107e-05,76.584688,2025-09-06T16:24:07.724452,2025-09-06T16:25:24.309140,metricas_por_tema__chunk-mean__campos-02_producao_resumo_03_palavra_area__simtema-01_tema_09_palavras_mpnet_base_v2.parquet
mean,02_producao_resumo_03_palavra_area,02_tema_08_palavras,2.3756687805005538e-05,76.620752,2025-09-06T16:25:29.720018,2025-09-06T16:26:46.340770,metricas_por_tema__chunk-mean__campos-02_producao_resumo_03_palavra_area__simtema-02_tema_08_palavras_mpnet_base_v2.parquet
mean,02_producao_resumo_03_palavra_area,03_tema_07_palavras,2.384994200253312e-05,76.717605,2025-09-06T16:26:51.336392,2025-09-06T16:28:08.053997,metricas_por_tema__chunk-mean__campos-02_producao_resumo_03_palavra_area__simtema-03_tema_07_palavras_mpnet_base_v2.parquet
mean,02_producao_resumo_03_palavra_area,04_tema_06_palavras,2.9480695526554423e-05,87.57553,2025-09-06T16:28:13.079585,2025-09-06T16:29:40.655115,metricas_por_tema__chunk-mean__campos-02_producao_resumo_03_palavra_area__simtema-04_tema_06_palavras_mpnet_base_v2.parquet
mean,02_producao_resumo_03_palavra_area,05_tema_05_palavras,6.802894522583345e-07,85.100401,2025-09-06T16:29:46.786573,2025-09-06T16:31:11.886974,metricas_por_tema__chunk-mean__campos-02_producao_resumo_03_palavra_area__simtema-05_tema_05_palavras_mpnet_base_v2.parquet
mean,02_producao_resumo_03_palavra_area,06_tema_04_palavras,3.0762528989570546e-05,90.161938,2025-09-06T16:31:17.013068,2025-09-06T16:32:47.175006,metricas_por_tema__chunk-mean__campos-02_producao_resumo_03_palavra_area__simtema-06_tema_04_palavras_mpnet_base_v2.parquet
